"time_acc","acc_x","acc_y","acc_z","time_gyro","gyro_x","gyro_y","gyro_z"
7.053750160E-4,4.790039063E-2,-9.595496063E0,2.074685669E-1,6.987375004E-3,1.017796040E0,2.337356955E-1,9.886117578E-1
1.075737501E-2,1.464255066E0,-9.763297119E0,8.452922058E-1,1.703937500E-2,9.855920672E-1,5.521014333E-1,8.837897182E-1
2.080937501E-2,3.107088776E0,-1.008827133E1,1.178349609E0,2.709137500E-2,9.221622348E-1,7.681389451E-1,7.334428430E-1
3.086137501E-2,4.159550171E0,-1.036354889E1,9.506730652E-1,3.714337503E-2,8.919661641E-1,8.872221112E-1,5.867714286E-1
4.091337501E-2,4.441863098E0,-1.052087173E1,4.439767456E-1,4.719537502E-2,8.675177693E-1,9.445114732E-1,4.026835859E-1
5.096537501E-2,4.196074219E0,-1.053194870E1,-2.026785278E-1,5.724737502E-2,7.376085520E-1,9.099782705E-1,1.943900883E-1
6.101737500E-2,3.871698761E0,-1.039184006E1,-1.383273468E0,6.729941667E-2,5.096414089E-1,8.635159731E-1,5.362284184E-2
7.106941668E-2,2.985242157E0,-1.026325745E1,-2.262395325E0,7.735141669E-2,2.704927921E-1,8.243084550E-1,-3.443834186E-2
8.112141668E-2,1.850002899E0,-1.041489212E1,-2.308200073E0,8.740341669E-2,9.434174001E-2,7.668270469E-1,-5.115899444E-2
9.117341667E-2,6.182144165E-1,-1.067774551E1,-1.588496704E0,9.745541669E-2,-3.024140745E-2,6.930789948E-1,-1.111146994E-2
1.012254167E-1,-4.637356567E-1,-1.075693085E1,-7.637118530E-1,1.075074167E-1,-1.174191907E-1,6.134150624E-1,3.797831386E-2
1.112774167E-1,-1.051712952E0,-1.076695999E1,-2.070195007E-1,1.175594167E-1,-1.568022519E-1,5.184931755E-1,9.135896713E-2
1.213294167E-1,-1.243763580E0,-1.099373840E1,7.214996338E-2,1.276114167E-1,-1.942388415E-1,3.970236778E-1,1.332432926E-1
1.313814167E-1,-9.973759460E-1,-1.151211044E1,-1.266366577E-1,1.376634167E-1,-2.631681263E-1,3.143045008E-1,1.683775634E-1
1.414334167E-1,-3.317102051E-1,-1.209963867E1,-7.123686218E-1,1.477154167E-1,-3.522713780E-1,3.301908076E-1,1.959388852E-1
1.514854167E-1,6.926097107E-1,-1.230710724E1,-1.313668213E0,1.577674167E-1,-4.642142951E-1,4.435343444E-1,1.911714673E-1
1.615384167E-1,1.950743408E0,-1.219963074E1,-1.767225037E0,1.678204167E-1,-6.135377288E-1,5.741109848E-1,1.592228562E-1
1.715904167E-1,3.069816284E0,-1.206206680E1,-2.127825165E0,1.778724167E-1,-7.793287635E-1,6.713123918E-1,8.225370944E-2
1.816424167E-1,3.759432220E0,-1.229438370E1,-2.338586884E0,1.879244167E-1,-9.631609321E-1,6.560128331E-1,-8.785703033E-2
1.916944167E-1,3.995341644E0,-1.304462357E1,-2.173180847E0,1.979764167E-1,-1.194236398E0,3.940225542E-1,-3.416289389E-1
2.017464167E-1,3.986360321E0,-1.377585297E1,-1.696122894E0,2.080284167E-1,-1.464662552E0,-1.409887895E-2,-6.140887141E-1
2.117984167E-1,3.755690002E0,-1.404619080E1,-1.187480621E0,2.180804167E-1,-1.760183334E0,-5.991324186E-1,-8.700097799E-1
2.218504167E-1,4.012106781E0,-1.457848389E1,-8.761280823E-1,2.281324167E-1,-1.993190765E0,-1.339000821E0,-1.103582621E0
2.319024167E-1,4.389172668E0,-1.464704132E1,-5.553451538E-1,2.381844167E-1,-2.180245876E0,-1.901787996E0,-1.357763410E0
2.419544167E-1,4.111799469E0,-1.397448990E1,-4.031117249E-1,2.482364167E-1,-2.508870125E0,-2.021972418E0,-1.526258111E0
2.520064167E-1,2.778072968E0,-1.349084564E1,-1.546284485E0,2.582884167E-1,-2.959217072E0,-1.965664506E0,-1.549692035E0
2.620584167E-1,7.214996338E-1,-1.300720139E1,-3.034489746E0,2.683404167E-1,-3.422130585E0,-1.748186469E0,-1.450343132E0
2.721104167E-1,-1.589245148E0,-1.293280609E1,-3.817810822E0,2.783924167E-1,-3.594382524E0,-1.641320109E0,-1.304031372E0
2.821624167E-1,-4.054019623E0,-1.333726501E1,-2.488275604E0,2.884444167E-1,-3.243625879E0,-1.870557547E0,-1.112803459E0
2.922144167E-1,-5.969735870E0,-1.348440903E1,2.166594543E0,2.984964167E-1,-2.752635717E0,-1.998397708E0,-9.667732716E-1
3.022664167E-1,-7.088359680E0,-1.383183655E1,6.127058716E0,3.085484167E-1,-2.414829254E0,-1.500909090E0,-8.653624654E-1
3.123184167E-1,-7.361541595E0,-1.458836334E1,7.324568481E0,3.186004167E-1,-2.286819696E0,-5.800852180E-1,-7.414389253E-1
3.223704167E-1,-7.583080902E0,-1.459854218E1,5.921236725E0,3.286524167E-1,-2.255453348E0,2.230442464E-1,-5.536208153E-1
3.324224167E-1,-8.155340881E0,-1.442684921E1,2.329904938E0,3.387044167E-1,-2.166958809E0,7.442265153E-1,-4.618646502E-1
3.424744167E-1,-8.077053680E0,-1.382599869E1,-1.377136230E0,3.487564167E-1,-1.994492292E0,1.199873686E0,-4.885854721E-1
3.525264167E-1,-6.813980255E0,-1.235470825E1,-3.609144745E0,3.588084167E-1,-1.882370472E0,1.437521219E0,-5.383821130E-1
3.625784167E-1,-5.053341522E0,-1.069870193E1,-4.844525757E0,3.688604167E-1,-1.941473484E0,1.094463706E0,-6.011493802E-1
3.726304167E-1,-2.681374054E0,-9.985884247E0,-5.373226318E0,3.789124167E-1,-2.208959341E0,4.034101367E-1,-5.520007610E-1
3.826824167E-1,-1.528172150E0,-1.000863693E1,-5.106630707E0,3.889644167E-1,-2.356830359E0,-4.672062397E-1,-5.214228630E-1
3.927344167E-1,-8.855584717E-1,-9.687854004E0,-3.102298737E0,3.990164167E-1,-2.281917095E0,-7.579421997E-1,-6.262658238E-1
4.027864167E-1,2.647993469E-1,-8.766070862E0,-4.373904419E-1,4.090684167E-1,-2.069405317E0,-5.767460465E-1,-7.894941568E-1
4.128384167E-1,1.316961365E0,-8.082442474E0,7.786807251E-1,4.191204167E-1,-1.881793499E0,-4.225599468E-1,-8.909032941E-1
4.228904167E-1,1.857038269E0,-7.840545502E0,8.107141113E-1,4.291724167E-1,-1.782866120E0,-4.231069386E-1,-9.729619622E-1
4.329424167E-1,2.269580383E0,-7.849227448E0,1.293310547E-1,4.392244167E-1,-1.690746188E0,-4.751525819E-1,-1.043879747E0
4.429944167E-1,2.237996063E0,-7.862100677E0,-3.218307495E-2,4.492764167E-1,-1.542067289E0,-6.741269827E-1,-1.092658162E0
4.530464167E-1,1.835483093E0,-7.435787201E0,3.420387268E-1,4.593284167E-1,-1.354534745E0,-9.561411738E-1,-1.104122162E0
4.630984167E-1,1.211730194E0,-6.869963837E0,6.304888916E-1,4.693804167E-1,-1.157228589E0,-1.202692270E0,-1.118868947E0
4.731504167E-1,5.656736755E-1,-6.301446075E0,7.141648865E-1,4.794324167E-1,-1.020237088E0,-1.490006208E0,-1.146227598E0
4.832024167E-1,-1.713935852E-1,-5.863905945E0,6.767427063E-1,4.894844167E-1,-8.349385858E-1,-1.661694884E0,-1.124208808E0
4.932544167E-1,-7.444020081E-1,-5.731730804E0,7.420069885E-1,4.995364167E-1,-6.861747503E-1,-1.822938442E0,-1.107501745E0
5.033064167E-1,-9.825567627E-1,-5.492079163E0,7.613168335E-1,5.095884167E-1,-5.589281321E-1,-2.060323238E0,-1.071880579E0
5.133584167E-1,-1.181343384E0,-5.409151611E0,7.092251587E-1,5.196404167E-1,-4.837860465E-1,-2.337733269E0,-1.006229520E0
5.234104167E-1,-1.540895691E0,-5.390141144E0,6.529421997E-1,5.296924167E-1,-3.913852572E-1,-2.425685167E0,-9.416921735E-1
5.334624167E-1,-2.108066254E0,-5.119953003E0,6.023474121E-1,5.397444167E-1,-2.120043486E-1,-2.324884415E0,-8.775484562E-1
5.435144167E-1,-2.486928406E0,-4.616998901E0,2.245330811E-1,5.497964167E-1,-3.516725451E-2,-2.209765673E0,-7.667918205E-1
5.535664167E-1,-2.649490356E0,-4.187242584E0,-6.444099426E-1,5.598484167E-1,1.505377740E-1,-2.065979719E0,-6.136794090E-1
5.636184167E-1,-2.627935181E0,-3.988905029E0,-1.544338531E0,5.699004167E-1,3.558089137E-1,-1.849476814E0,-4.278411567E-1
5.736704167E-1,-2.457140350E0,-3.933370514E0,-2.284399567E0,5.799524167E-1,5.769367218E-1,-1.555984020E0,-2.491549999E-1
5.837224167E-1,-2.153122559E0,-3.965403900E0,-2.897674255E0,5.900044167E-1,8.063153028E-1,-1.160021067E0,-1.112767681E-1
5.937744167E-1,-1.820663910E0,-4.082011414E0,-3.264561310E0,6.000564167E-1,1.051665664E0,-6.958761215E-1,-3.172321618E-2
6.038264167E-1,-1.494192810E0,-4.200564880E0,-3.406915283E0,6.101084167E-1,1.299490571E0,-2.881397903E-1,-1.446886361E-2
6.138784167E-1,-1.015039215E0,-4.574187927E0,-3.571423187E0,6.201604167E-1,1.484294295E0,-2.524695173E-2,-2.939991467E-2
6.239304167E-1,-5.619314575E-1,-5.227878571E0,-4.117038574E0,6.302124167E-1,1.593357444E0,1.329698563E-1,-6.747166812E-2
6.339834167E-1,-2.154020691E-1,-6.119424591E0,-5.103337555E0,6.402644167E-1,1.581857085E0,1.757542044E-1,-9.261909127E-2
6.440354167E-1,2.035766602E-2,-7.148684235E0,-6.419700165E0,6.503174167E-1,1.451303244E0,2.002459615E-1,-5.247540027E-2
6.540874167E-1,-9.400451660E-2,-8.455317078E0,-8.024512939E0,6.603694167E-1,1.225435138E0,1.408490539E-1,7.375141233E-2
6.641394167E-1,-3.023712158E-1,-9.802216187E0,-9.479487305E0,6.704214167E-1,8.661141992E-1,2.380258776E-2,2.307444960E-1
6.741914167E-1,-4.525090027E-1,-1.108549759E1,-1.044767395E1,6.804734167E-1,4.069571793E-1,-7.102385163E-2,3.431078792E-1
6.842434167E-1,-2.089654541E-1,-1.228300735E1,-1.094329330E1,6.905254167E-1,1.976666506E-3,-1.418093443E-1,2.875804305E-1
6.942954167E-1,1.192420349E0,-1.365535355E1,-1.039393570E1,7.005774167E-1,-2.924619317E-1,-2.783001959E-1,6.433913112E-2
7.043474167E-1,3.247796173E0,-1.477292953E1,-9.473948822E0,7.106294167E-1,-4.513333440E-1,-4.412121475E-1,-2.025207877E-1
7.143994167E-1,4.484225006E0,-1.486902969E1,-8.797206116E0,7.206814167E-1,-4.861564636E-1,-5.880444646E-1,-4.260360301E-1
7.244514167E-1,4.335434418E0,-1.376612320E1,-8.186027069E0,7.307334167E-1,-5.085456371E-1,-7.478697896E-1,-5.490348935E-1
7.345034167E-1,3.216810608E0,-1.186866898E1,-8.258626099E0,7.407854167E-1,-5.275073051E-1,-8.936241865E-1,-6.214241982E-1
7.445554167E-1,2.362237701E0,-1.005339386E1,-8.480315094E0,7.508374167E-1,-4.658429027E-1,-9.990888238E-1,-6.646589637E-1
7.546074167E-1,1.818119202E0,-8.507558441E0,-7.944429474E0,7.608894167E-1,-2.770438790E-1,-1.048358440E0,-6.682299376E-1
7.646594167E-1,1.103355560E0,-7.049739990E0,-7.064708862E0,7.709414167E-1,2.330507617E-3,-1.062332273E0,-5.893076658E-1
7.747114167E-1,-1.315763855E-1,-5.840704193E0,-5.945935364E0,7.809934167E-1,3.048721254E-1,-9.809309840E-1,-4.607897103E-1
7.847634167E-1,-1.634750519E0,-5.242548065E0,-4.756508789E0,7.910454167E-1,6.568549871E-1,-7.442862391E-1,-3.092012703E-1
